,team,year,overall wins,overall losses,home wins,home losses,road wins,road losses
380,Sacramento Kings,2013,28,54,17,24,11,30
381,Los Angeles Lakers,2013,27,55,14,27,13,28
382,Boston Celtics,2013,25,57,16,25,9,32
383,Utah Jazz,2013,25,57,16,25,9,32
384,Orlando Magic,2013,23,59,19,22,4,37
385,Philadelphia 76ers,2013,19,63,10,31,9,32
386,Milwaukee Bucks,2013,15,67,10,31,5,36
387,Golden State Warriors,2014,67,15,39,2,28,13
388,Atlanta Hawks,2014,60,22,35,6,25,16
389,Houston Rockets,2014,56,26,30,11,26,15
390,Los Angeles Clippers,2014,56,26,30,11,26,15
391,Memphis Grizzlies,2014,55,27,31,10,24,17
392,San Antonio Spurs,2014,55,27,33,8,22,19
393,Cleveland Cavaliers,2014,53,29,31,10,22,19
394,Portland Trail Blazers,2014,51,31,32,9,19,22
395,Chicago Bulls,2014,50,32,27,14,23,18
396,Dallas Mavericks,2014,50,32,27,14,23,18
397,Toronto Raptors,2014,49,33,27,14,22,19
398,Washington Wizards,2014,46,36,29,12,17,24
399,New Orleans Pelicans,2014,45,37,28,13,17,24
400,Oklahoma City Thunder,2014,45,37,29,12,16,25
401,Milwaukee Bucks,2014,41,41,23,18,18,23
402,Boston Celtics,2014,40,42,21,20,19,22
403,Phoenix Suns,2014,39,43,22,19,17,24
404,Brooklyn Nets,2014,38,44,19,22,19,22
405,Indiana Pacers,2014,38,44,23,18,15,26
406,Utah Jazz,2014,38,44,21,20,17,24
407,Miami Heat,2014,37,45,20,21,17,24
408,Charlotte Hornets,2014,33,49,19,22,14,27
409,Detroit Pistons,2014,32,50,18,23,14,27
410,Denver Nuggets,2014,30,52,19,22,11,30
411,Sacramento Kings,2014,29,53,18,23,11,30
412,Orlando Magic,2014,25,57,13,28,12,29
413,Los Angeles Lakers,2014,21,61,12,29,9,32
414,Philadelphia 76ers,2014,18,64,12,29,6,35
415,New York Knicks,2014,17,65,10,31,7,34
416,Minnesota Timberwolves,2014,16,66,9,32,7,34
417,Golden State Warriors,2015,73,9,39,2,34,7
418,San Antonio Spurs,2015,67,15,40,1,27,14
419,Cleveland Cavaliers,2015,57,25,33,8,24,17
420,Toronto Raptors,2015,56,26,32,9,24,17
421,Oklahoma City Thunder,2015,55,27,32,9,23,18
422,Los Angeles Clippers,2015,53,29,29,12,24,17
423,Atlanta Hawks,2015,48,34,27,14,21,20
424,Boston Celtics,2015,48,34,28,13,20,21
425,Charlotte Hornets,2015,48,34,30,11,18,23
426,Miami Heat,2015,48,34,28,13,20,21
427,Indiana Pacers,2015,45,37,26,15,19,22
428,Detroit Pistons,2015,44,38,26,15,18,23
429,Portland Trail Blazers,2015,44,38,28,13,16,25
430,Dallas Mavericks,2015,42,40,23,18,19,22
431,Memphis Grizzlies,2015,42,40,26,15,16,25
432,Chicago Bulls,2015,42,40,26,15,16,25
433,Houston Rockets,2015,41,41,23,18,18,23
434,Washington Wizards,2015,41,41,22,19,19,22
435,Utah Jazz,2015,40,42,24,17,16,25
436,Orlando Magic,2015,35,47,23,18,12,29
437,Denver Nuggets,2015,33,49,18,23,15,26
438,Milwaukee Bucks,2015,33,49,23,18,10,31
439,Sacramento Kings,2015,33,49,18,23,15,26
440,New York Knicks,2015,32,50,18,23,14,27
441,New Orleans Pelicans,2015,30,52,21,20,9,32
442,Minnesota Timberwolves,2015,29,53,14,27,15,26
443,Phoenix Suns,2015,23,59,14,27,9,32
444,Brooklyn Nets,2015,21,61,14,27,7,34
